Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop
Albania,334427,,3597.0,,329169.0,,1661.0,,116672.0,1255.0
Botswana,329727,,2801.0,,326868.0,,58.0,1.0,135070.0,1147.0
Luxembourg,297757,,1133.0,,288991.0,,7633.0,,463528.0,1764.0
Montenegro,288552,,2805.0,,285130.0,,617.0,6.0,459514.0,4467.0
Brunei,278698,,225.0,,243601.0,,34872.0,3.0,625682.0,505.0
Algeria,271477,,6881.0,,182803.0,,81793.0,,5986.0,152.0
Nigeria,266598,,3155.0,,259917.0,,3526.0,11.0,1230.0,15.0
Zimbabwe,264127,,5668.0,,257839.0,,620.0,12.0,17228.0,370.0
Uzbekistan,251071,,1637.0,,241486.0,,7948.0,23.0,7302.0,48.0
Mozambique,233098,,2242.0,,228805.0,,2051.0,11.0,7044.0,68.0
Martinique,229807,,1098.0,,,,,12.0,614314.0,2935.0
Laos,218020,,758.0,,,,,,29143.0,101.0
Afghanistan,209406,12.0,7896.0,,191250.0,17.0,10260.0,45.0,5138.0,194.0
Iceland,209093,,229.0,,,,,2.0,605377.0,663.0
Kyrgyzstan,206673,,2991.0,,196406.0,,7276.0,131.0,30717.0,445.0
Guadeloupe,201852,,1010.0,,,,,19.0,504890.0,2526.0
El Salvador,201785,,4230.0,,179410.0,,18145.0,8.0,30805.0,646.0
Trinidad and Tobago,189296,,4347.0,,184553.0,,396.0,8.0,134578.0,3090.0
Maldives,185732,,311.0,,163687.0,,21734.0,25.0,343322.0,575.0
Ghana,171209,,1462.0,,169720.0,,27.0,2.0,5285.0,45.0
Namibia,171156,,4090.0,,166776.0,,290.0,,64983.0,1553.0
Uganda,170504,,3630.0,,100431.0,,66443.0,3.0,3520.0,75.0
Jamaica,154196,,3502.0,,102393.0,,48301.0,,51655.0,1173.0
Cambodia,138719,,3056.0,,135658.0,,5.0,,8080.0,178.0
Rwanda,133180,,1468.0,,131634.0,,78.0,,9792.0,108.0
Cameroon,124392,,1965.0,,122344.0,,83.0,13.0,4457.0,70.0
Malta,117477,,827.0,,116028.0,,622.0,4.0,264568.0,1862.0
Barbados,106645,,575.0,,106057.0,,13.0,,370266.0,1996.0
Angola,105277,,1933.0,,103317.0,,27.0,,3006.0,55.0
Channel Islands,101382,,227.0,,101029.0,,126.0,,574523.0,1286.0
French Guiana,98041,,420.0,,11254.0,,86367.0,6.0,312065.0,1337.0
DRC,95749,,1464.0,,84321.0,,9964.0,,1005.0,15.0
Senegal,88921,,1971.0,,86947.0,,3.0,,5037.0,112.0
Malawi,88702,,2686.0,,85580.0,,436.0,67.0,4395.0,133.0
Ivory Coast,88240,,834.0,,87375.0,,31.0,,3181.0,30.0
Suriname,82467,,1404.0,,,,,,138175.0,2352.0
New Caledonia,79881,,314.0,,79558.0,,9.0,9.0,274585.0,1079.0
French Polynesia,77957,,649.0,,,,,7.0,274338.0,2284.0
Eswatini,74267,,1425.0,,72795.0,,47.0,,62682.0,1203.0
Guyana,73075,,1298.0,,71756.0,,21.0,,92029.0,1635.0
Belize,70757,,688.0,,70056.0,,13.0,6.0,171661.0,1669.0
Fiji,68897,,883.0,,66860.0,,1154.0,,75755.0,971.0
Madagascar,67889,,1423.0,,66445.0,,21.0,,2327.0,49.0
Sudan,63809,,5013.0,,58468.0,8.0,328.0,,1387.0,109.0
Mauritania,63668,,997.0,,62441.0,,230.0,,12988.0,203.0
Cabo Verde,63244,,413.0,,62773.0,,58.0,23.0,111408.0,728.0
Bhutan,62620,,21.0,,61564.0,,1035.0,,79473.0,27.0
Syria,57467,,3164.0,,54303.0,,0.0,,2968.0,163.0
Burundi,53631,,38.0,,53569.0,,24.0,,4248.0,3.0
Seychelles,50665,,172.0,,50440.0,,53.0,,509575.0,1730.0
Gabon,48981,,306.0,,48674.0,,1.0,,21008.0,131.0
Andorra,47875,,165.0,,47563.0,,147.0,14.0,618037.0,2130.0
Papua New Guinea,46809,,670.0,,43982.0,,2157.0,7.0,5037.0,72.0
