Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Slovenia,"1,335,516",,"7,086",,"1,322,714",,"5,716",6,"642,682","3,410","2,843,648","1,368,432","2,078,034",Europe,2,293,1,,,"2,751"
Lithuania,"1,310,752",,"9,612",,"1,294,496",,"6,644",4,"492,448","3,611","10,398,636","3,906,753","2,661,708",Europe,2,277,0,,,"2,496"
Bulgaria,"1,298,377",,"38,236",,"1,257,233",,"2,908",30,"189,694","5,586","11,094,219","1,620,872","6,844,597",Europe,5,179,1,,,425
Morocco,"1,272,526",,"16,296",,"1,256,151",,79,3,"33,689",431,"12,995,267","344,038","37,772,756",Africa,30,"2,318",3,,,2
Croatia,"1,269,687",,"18,006",,"1,251,200",,481,8,"312,786","4,436","5,530,633","1,362,464","4,059,286",Europe,3,225,1,,,118
Guatemala,"1,240,751",,"20,183",,"1,219,568",,"1,000",5,"66,764","1,086","7,024,949","378,010","18,584,039",North America,15,921,3,,,54
Lebanon,"1,233,535",,"10,851",,"1,087,587",,"135,097",74,"184,527","1,623","4,795,578","717,380","6,684,849",Asia,5,616,1,,,"20,209"
Costa Rica,"1,214,651",,"9,266",,"860,711",,"344,674",52,"234,382","1,788","4,659,757","899,158","5,182,354",North America,4,559,1,,,"66,509"
Bolivia,"1,195,064",,"22,368",,"1,162,353",,"10,343",220,"99,650","1,865","2,705,422","225,590","11,992,656",South America,10,536,4,,,862
Tunisia,"1,151,333",,"29,345",,N/A,N/A,N/A,44,"95,573","2,436","5,003,956","415,381","12,046,656",Africa,10,411,2,,,995
Cuba,"1,112,704",,"8,530",,"1,104,084",,90,2,"98,420",754,"14,324,663","1,267,036","11,305,652",North America,10,"1,325",1,,,8
Ecuador,"1,057,608",,"36,015",,"1,021,106",,487,759,"58,388","1,988","3,082,403","170,173","18,113,361",South America,17,503,6,,,27
UAE,"1,054,873",,"2,349",,"1,036,819",,"15,705",,"104,632",233,"199,569,240","19,795,030","10,081,785",Asia,10,"4,292",0,,,"1,558"
Uruguay,"1,035,046",,"7,619",,"1,026,854",,573,18,"296,064","2,179","6,114,822","1,749,083","3,496,016",South America,3,459,1,,,164
