Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Zambia,343135.0,0.0,4057.0,0.0,338854.0,0.0,224.0,0.0,17624.0,208.0,3943335.0,202531.0,19470234.0,Africa,57.0,4799.0,5.0,0.0,0.0,12.0
Kenya,342937.0,0.0,5688.0,0.0,337222.0,0.0,27.0,1.0,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,164.0,9883.0,14.0,0.0,0.0,0.5
Albania,334497.0,0.0,3598.0,0.0,329219.0,0.0,1680.0,0.0,116697.0,1255.0,1941032.0,677173.0,2866374.0,Europe,9.0,797.0,1.0,0.0,0.0,586.0
Botswana,329758.0,0.0,2801.0,0.0,326916.0,0.0,41.0,1.0,135082.0,1147.0,2026898.0,830300.0,2441162.0,Africa,7.0,872.0,1.0,0.0,0.0,17.0
Luxembourg,297757.0,0.0,1133.0,0.0,288991.0,0.0,7633.0,0.0,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,2.0,567.0,0.0,0.0,0.0,11883.0
Montenegro,288935.0,0.0,2808.0,0.0,285482.0,0.0,645.0,6.0,460124.0,4472.0,2724376.0,4338524.0,627950.0,Europe,2.0,224.0,0.0,0.0,0.0,1027.0
Brunei,279661.0,0.0,225.0,0.0,243601.0,0.0,35835.0,3.0,627844.0,505.0,717784.0,1611437.0,445431.0,Asia,2.0,1980.0,1.0,0.0,0.0,80450.0
Algeria,271522.0,0.0,6881.0,0.0,182825.0,0.0,81816.0,0.0,5987.0,152.0,230861.0,5091.0,45350148.0,Africa,167.0,6591.0,196.0,0.0,0.0,1804.0
Nigeria,266598.0,0.0,3155.0,0.0,259917.0,0.0,3526.0,11.0,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,813.0,68700.0,38.0,0.0,0.0,16.0
Zimbabwe,264276.0,0.0,5671.0,0.0,258184.0,0.0,421.0,12.0,17238.0,370.0,2525756.0,164744.0,15331428.0,Africa,58.0,2703.0,6.0,0.0,0.0,27.0
Uzbekistan,251247.0,0.0,1637.0,0.0,241486.0,0.0,8124.0,23.0,7307.0,48.0,1377915.0,40077.0,34382084.0,Asia,137.0,21003.0,25.0,0.0,0.0,236.0
Mozambique,233214.0,0.0,2242.0,0.0,228805.0,0.0,2167.0,11.0,7048.0,68.0,1371127.0,41437.0,33089461.0,Africa,142.0,14759.0,24.0,0.0,0.0,65.0
Martinique,229807.0,0.0,1098.0,0.0,0.0,0.0,0.0,12.0,614314.0,2935.0,828928.0,2215870.0,374087.0,North America,2.0,341.0,0.0,0.0,0.0,611101.0
Laos,218023.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,29143.0,101.0,1233207.0,164845.0,7481023.0,Asia,34.0,9869.0,6.0,0.0,0.0,28018.0
Afghanistan,209557.0,18.0,7896.0,0.0,191371.0,59.0,10290.0,45.0,5142.0,194.0,1207332.0,29625.0,40754388.0,Asia,194.0,5161.0,34.0,0.4,0.0,252.0
Iceland,209137.0,0.0,229.0,0.0,0.0,0.0,0.0,2.0,605504.0,663.0,1996384.0,5780036.0,345393.0,Europe,2.0,1508.0,0.0,0.0,0.0,385714.0
Kyrgyzstan,206708.0,0.0,2991.0,0.0,196406.0,0.0,7311.0,131.0,30722.0,445.0,1907195.0,283460.0,6728271.0,Asia,33.0,2250.0,4.0,0.0,0.0,1087.0
Guadeloupe,201886.0,0.0,1010.0,0.0,0.0,0.0,0.0,19.0,504975.0,2526.0,938039.0,2346306.0,399794.0,North America,2.0,396.0,0.0,0.0,0.0,496821.0
El Salvador,201785.0,0.0,4230.0,0.0,179410.0,0.0,18145.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,32.0,1549.0,3.0,0.0,0.0,2770.0
Trinidad and Tobago,189918.0,0.0,4355.0,0.0,185101.0,0.0,462.0,8.0,135021.0,3096.0,900861.0,640460.0,1406585.0,North America,7.0,323.0,2.0,0.0,0.0,328.0
Maldives,185738.0,0.0,311.0,0.0,163687.0,0.0,21740.0,25.0,343333.0,575.0,2213831.0,4092223.0,540985.0,Asia,3.0,1740.0,0.0,0.0,0.0,40186.0
Ghana,171229.0,0.0,1462.0,0.0,169726.0,0.0,41.0,2.0,5286.0,45.0,2531089.0,78131.0,32395450.0,Africa,189.0,22158.0,13.0,0.0,0.0,1.0
Namibia,171156.0,0.0,4090.0,0.0,166776.0,0.0,290.0,0.0,64983.0,1553.0,1062663.0,403460.0,2633874.0,Africa,15.0,644.0,2.0,0.0,0.0,110.0
Uganda,170544.0,0.0,3630.0,0.0,100431.0,0.0,66483.0,3.0,3521.0,75.0,3012408.0,62198.0,48432863.0,Africa,284.0,13342.0,16.0,0.0,0.0,1373.0
Jamaica,154416.0,0.0,3514.0,0.0,102529.0,0.0,48373.0,0.0,51729.0,1177.0,1183986.0,396633.0,2985094.0,North America,19.0,849.0,3.0,0.0,0.0,16205.0
Cambodia,138720.0,0.0,3056.0,0.0,135660.0,0.0,4.0,0.0,8080.0,178.0,3091420.0,180062.0,17168639.0,Asia,124.0,5618.0,6.0,0.0,0.0,0.2
Rwanda,133194.0,0.0,1468.0,0.0,131647.0,0.0,79.0,0.0,9793.0,108.0,6021981.0,442778.0,13600464.0,Africa,102.0,9265.0,2.0,0.0,0.0,6.0
Cameroon,124392.0,0.0,1965.0,0.0,122344.0,0.0,83.0,13.0,4457.0,70.0,1751774.0,62762.0,27911548.0,Africa,224.0,14204.0,16.0,0.0,0.0,3.0
Malta,117610.0,0.0,828.0,0.0,116117.0,0.0,665.0,4.0,264868.0,1865.0,2119315.0,4772877.0,444033.0,Europe,4.0,536.0,0.0,0.0,0.0,1498.0
